Date,Open,High,Low,Close,Volume
2004-08-19,2.4934637299363867,2.5946978644877166,2.3927270405746177,2.501940965652466,893181924
2004-08-20,2.5186475756905886,2.719870105669177,2.5059306523582463,2.700669765472412,456686856
2004-08-23,2.7615113685389363,2.829582495991287,2.7191220982635094,2.727849245071411,365122512
2004-08-24,2.773728836676014,2.7827054184158677,2.582480157891459,2.6148946285247803,304946748
2004-08-25,2.617139646354595,2.6929408920436346,2.59021037521746,2.6430716514587402,183772044
2004-08-26,2.6168897561364886,2.691693743160087,2.6096589827916032,2.6906962394714355,141897960
2004-08-27,2.6954337846457617,2.708399905808549,2.6353417365503375,2.646811008453369,124235640
2004-08-30,2.6251185524799476,2.6303545551454666,2.5435822010040283,2.5435822010040283,103935960
2004-08-31,2.550813088648932,2.5859706352924485,2.5473226576046253,2.552558660507202,98357544
2004-09-01,2.5607869995446024,2.567519614303989,2.4852349512671608,2.49969744682312,182765052
2004-09-02,2.4732664935985644,2.5525588885424804,2.4670329865690412,2.5311148166656494,302373324
2004-09-03,2.517151267959787,2.5368497665673226,2.476507569418243,2.493713140487671,103048848
2004-09-07,2.518647456544224,2.543332996196098,2.4837391093030057,2.532860040664673,116950932
2004-09-08,2.511915070778778,2.569015085282149,2.505930761773838,2.5508131980895996,99712188
2004-09-09,2.5565482580681747,2.5610359552276463,2.5183986749578744,2.5510621070861816,81234684
2004-09-10,2.5333593184807155,2.657035034951051,2.525878397899695,2.6263651847839355,173977848
2004-09-13,2.658779584155709,2.70316386028493,2.654541084858477,2.6804730892181396,156882960
2004-09-14,2.6792267892066013,2.792679463686075,2.6627692859975283,2.7799625396728516,216579204
2004-09-15,2.7567734574385834,2.8482836603087995,2.747796875558281,2.7926793098449707,214261524
2004-09-16,2.8011565158911305,2.8874307149420235,2.783951895717045,2.8418002128601074,185326488
2004-09-17,2.8530206458117093,2.929570198059082,2.831328327715914,2.929570198059082,189450360
2004-09-20,2.9161059096194064,3.032051508643695,2.9116172622143734,2.976198196411133,212575212
2004-09-21,2.987418686513574,3.002629488867843,2.9300694718025184,2.938297748565674,144575280
